month,WVPT,WVIT,WWPT,WWIT,water_deficit_m3,voidage_replacement
2007-06-01,3885.504272,0.0,2953.577026,0.0,0,0.0
2007-07-01,13483.2677,0.0,7595.425902999999,0.0,0,0.0
2007-08-01,21487.194458,0.0,10972.695924,0.0,0,0.0
2007-09-01,35205.108765,0.0,19177.498167,0.0,0,0.0
2007-10-01,45717.363279,0.0,25243.062867,0.0,0,0.0
2007-11-01,52452.953188,0.0,30590.144837000003,0.0,0,0.0
2007-12-01,55817.654602,0.0,34866.831177,0.0,0,0.0
2008-01-01,59521.307981,0.0,37061.819153000004,0.0,0,0.0
2008-02-01,56711.396730999986,13376.525391,37193.740356,13050.0,0,0.23587014536864737
2008-03-01,58373.72656100001,33283.378905000005,38205.064454,32464.634766,0,0.5701773874282153
2008-04-01,57136.479065,53826.76074399999,38091.870941,52500.0,14408.129058999999,0.9420734638332408
2008-05-01,51986.387148999995,57207.34399300001,35462.015347,55800.0,20337.984653,1.10042930717682
2008-06-01,62051.992306,55358.725827999995,41719.900638,54000.001953,12280.101315,0.8921345434810026
2008-07-01,75559.369753,66735.760257,49388.534118,65100.0,15711.465881999997,0.8832228282892781
2008-08-01,71834.748288,79445.956542,46161.752686,77500.0,31338.247314,1.105954408352419
2008-09-01,69748.80127299999,76877.669433,44376.30127199999,75000.0,30623.69872800001,1.1022077516729971
2008-10-01,72699.48828,79434.74023400001,45909.797113,77500.0,31590.202887,1.0926451081479334
2008-11-01,70997.42089800001,76867.16210999999,44636.78027500001,74999.996093,30363.215817999982,1.0826754146524966
2008-12-01,73983.07617300001,79424.699219,46409.533936,77500.0,31090.466064,1.0735522679980953
2009-01-01,74818.85302899999,82597.101563,46912.99585,80600.0,33687.00415,1.10396107690912
2009-02-01,68117.296873,74598.48632899999,42730.782715,72800.0,30069.217285,1.095147484611489
2009-03-01,75995.198241,82586.41991999999,47743.136230000004,80600.0,32856.863769999996,1.086732080862498
2009-04-01,73957.080075,79917.75000100001,46574.706545,78000.0,31425.293455,1.0805963393897553
2009-05-01,76808.320315,82577.496094,48545.26318099999,80600.0,32054.736819000012,1.0751113389192724
2009-06-01,74521.111329,78373.10156300002,47333.930175000016,76500.0,29166.069824999984,1.051689919343715
2009-07-01,77506.18457099999,85572.31249799998,49474.49609799999,83529.765625,34055.26952700001,1.1040707650834105
2009-08-01,78005.20996,85398.488284,50082.187498,83364.929687,33282.742189,1.0947792888166212
2009-09-01,75750.654297,82534.05468599999,48954.809082000014,80572.79687600001,31617.987793999993,1.0895490666312124
2009-10-01,78446.347655,85202.92187600001,51076.04882699998,83182.015625,32105.966798000023,1.0861298763164196
2009-11-01,76055.529299,82397.675782,49881.56836000003,80446.828125,30565.259764999973,1.08338836822852
2009-12-01,78742.92968900001,85098.98437299998,52026.36230599998,83087.578125,31061.21581900002,1.0807190526070543
2010-01-01,79056.22460599996,88228.92968499998,52441.65819700001,86147.015625,33705.35742799999,1.1160276135714158
2010-02-01,71703.65234700005,79649.26562600001,47790.117194,77774.3125,29984.195306,1.1108118348079152
2010-03-01,79753.59960799997,88132.32812700002,53488.438474999995,86062.0,32573.561525000005,1.10505768467107
2010-04-01,77506.77343999999,85243.12499799998,52333.099608000004,83245.0,30911.900391999996,1.0998151673026217
2010-05-01,80414.91601400002,88039.70312600001,54693.61523400001,85980.179687,31286.564452999984,1.0948180697057812
2010-06-01,78103.37694999998,85162.07031400001,53506.243168000015,83173.78125,29667.538081999985,1.0903762889601925
2010-07-01,81369.50781300002,87284.05468599999,56194.50390299996,85250.0,29055.49609700004,1.0726875095102275
2010-08-01,81865.08203199999,87281.632813,56968.210938000026,85250.0,28281.789061999974,1.0661643602687987
2010-09-01,79624.925781,84463.953125,55810.627928999995,82500.0,26689.372071000005,1.060772770543099
2010-10-01,82625.66601399999,87277.523437,58336.003904,85249.992188,26913.988284000006,1.056300392449627
2010-11-01,80225.59180100002,84460.382813,57029.508793,82500.0,25470.491207,1.052786036437156
2010-12-01,83148.787108,87274.054687,59512.79101399999,85250.0,25737.208986000012,1.0496130818317504
2011-01-01,83285.24804599998,85685.570313,60021.23144500003,83700.0,23678.768554999973,1.0288204973067294
2011-02-01,75286.46679900003,77392.6875,54604.968751999986,75600.0,20995.031248000014,1.0279760864143508
2011-03-01,83382.072266,85683.90625,60887.343751,83700.0,22812.656249,1.027605862044983
2011-04-01,80721.46288599996,82919.015625,59301.22265600001,81000.0,21698.777343999987,1.027223896352121
2011-05-01,83449.01172200002,85682.125,61662.93554599999,83699.984375,22037.048829000007,1.026760212396994
2011-06-01,80788.474609,81074.5625,60018.289061999996,79200.0,19181.710938000004,1.0035411968400767
2011-07-01,83254.07421599998,86936.203125,62120.77929600001,84925.671875,22804.892578999992,1.0442276122060627
2011-08-01,83183.17773700002,86602.96875,62372.50781499999,84601.625,22229.11718500001,1.0411115697432518
2011-09-01,80523.017578,83670.03125,60668.060549000016,81737.890625,21069.830075999984,1.0390821626741893
2011-10-01,83287.75195399999,86382.78125,63054.060542999985,84389.328125,21335.267582000015,1.037160677571288
2011-11-01,80105.53515499999,83558.1875,60869.050784000014,81631.359375,20762.308590999986,1.043101295538683
2011-12-01,82300.03320199999,86322.796875,62842.617186,84333.890625,21491.273438999997,1.0488792472674513
2012-01-01,83491.83203399999,104053.84375,64277.95702799998,101658.921875,37380.96484700002,1.2462757279972805
2012-02-01,79163.687497,97281.921875,61338.84374699998,95057.265625,33718.42187800002,1.228870520700373
2012-03-01,85746.04687800001,103919.796875,66850.02734700001,101556.6875,34706.66015299999,1.2119485464193784
2012-04-01,83960.58593900001,100499.65625,65811.740235,98227.171875,32415.431639999995,1.1969861230246313
2012-05-01,87704.49609,103781.40625,69112.09570200002,101446.921875,32334.82617299998,1.1833077080050982
2012-06-01,85444.093753,100373.15625,67662.44336199999,98126.84375,30464.40038800001,1.1747231650692747
2012-07-01,88676.710935,99874.53125,70641.193361,97650.0,27008.806639000002,1.1262769017584335
2012-08-01,88986.69922099999,99866.859375,71219.55859300002,97650.0,26430.441406999977,1.1222672629645354
2012-09-01,86440.47265400001,96637.984375,69427.08983999997,94500.0,25072.91016000003,1.117971494230696
2012-10-01,89698.23047,99761.859375,72259.83789400003,97561.9375,25302.099605999974,1.1121942857988245
2012-11-01,87137.80078199999,96029.0625,70390.71484199999,93918.4375,23527.722658000013,1.1020367927375632
2012-12-01,91327.121093,99347.359375,74005.58398199998,97170.1875,23164.603518000018,1.0878188010966956
2013-01-01,91399.199218,93810.453125,74192.83203600002,91760.0,17567.16796399998,1.0263815649111852
2013-02-01,82884.28125100001,84731.09375,67413.48242200002,82880.0,15466.517577999984,1.022281818351145
2013-03-01,91662.15625,93808.6875,74689.22070099998,91760.0,17070.779299000016,1.0234178568104544
2013-04-01,88647.804687,90781.5625,72367.26562700002,88800.0,16432.734372999985,1.0240700581422624
2013-05-01,91581.601563,93806.515625,74912.99999699996,91760.0,16847.000003000037,1.024294334495444
2013-06-01,88634.195312,90779.5,72645.70898499999,88800.0,16154.29101500001,1.0242040296123673
2013-07-01,91391.363282,97677.375,75042.88867400005,95548.71875,20505.830075999955,1.068781244663171
2013-08-01,91387.57031099997,97331.96875,75190.04101299998,95215.15625,20025.11523700002,1.0650460277997402
2013-09-01,88501.38281300002,94016.625,72955.644531,91975.90625,19020.261719000002,1.0623181470356624
2013-10-01,91557.480469,97026.484375,75619.28125300002,94924.140625,19304.859371999977,1.059733010104529
2013-11-01,88733.85937600001,93811.5,73419.636717,91782.578125,18362.941408,1.0572232590772823
2013-12-01,91742.648437,95926.71875,76032.33789099999,93855.390625,17823.05273400001,1.0456066004664475
2014-01-01,91939.562498,97472.3125,76303.226563,95370.21875,19066.992186999996,1.0601781197525315
2014-02-01,83207.039065,88017.609375,69161.623046,86122.90625,16961.283204000007,1.0578144633441655
2014-03-01,92296.300781,97431.375,76864.742188,95337.15625,18472.414061999996,1.0556368367480347
2014-04-01,89457.21093499998,94277.21875,74648.92773400001,92254.125,17605.19726599999,1.0538805957018071
2014-05-01,92565.79687700002,97411.46875,77405.99804499999,95324.34375,17918.345705000014,1.0523484055286516
2014-06-01,89847.37890499999,89682.75,75256.12500200002,87764.1875,12508.062497999985,0.9981676827192247
2014-07-01,93037.367188,90598.28125,78127.876954,88660.0,10532.123045999993,0.973783803092027
2014-08-01,92924.019532,90553.65625,78231.980469,88614.5,10382.519530999998,0.9744913823795178
2014-09-01,89736.78124899999,87586.59375,75730.117188,85709.75,9979.632811999996,0.9760389500372908
2014-10-01,92533.78125200002,90477.40625,78274.99609199999,88537.3125,10262.316408000013,0.9777770347847363
2014-11-01,89418.124998,88459.90625,75805.947265,86562.1875,10756.240235000005,0.9892838420843488
2014-12-01,92289.25781299999,91392.6875,78402.916016,89432.0625,11029.146483999997,0.9902852148316476
2015-01-01,91689.910157,82567.25,77825.474609,80795.6875,2970.212891000003,0.9005052994230299
2015-02-01,82420.84765499999,74645.5,69962.91211,73038.3125,3075.4003899999952,0.9056628525886278
2015-03-01,90866.07812499999,82695.75,77185.667969,80910.0,3724.332030999998,0.9100838476404751
2015-04-01,87603.20312600001,80033.6875,74483.738282,78300.0,3816.2617179999943,0.9135931637669373
2015-05-01,90120.058594,81122.46875,76704.28906199998,79360.0,2655.7109380000184,0.9001599645586666
2015-06-01,86863.05859199999,78511.40625,74016.86913899999,76800.0,2783.1308610000124,0.9038526563837902
2015-07-01,89469.86719,85887.6875,76359.17773600001,84010.0,7650.822263999988,0.9599621660062061
